slug,date,title,youtube_id,other_url
sociotechnical-systems-design-for-the-digital-coal-mines-trond-hjorteland-ddd-europe-2021,2016-05-30,Sociotechnical Systems Design for the “Digital Coal Mines” - Trond Hjorteland - DDD Europe 2021,zRcnIcaZO_U,
sociotechnical-thomas-ploch-ddd-europe-2019,2019-12-21,Sociotechnical - Thomas Ploch - DDD Europe 2019,zOuVMEibCF0,
soft-skills-for-technical-professionals-by-jacqui-read,2024-02-22,Soft Skills for Technical Professionals by Jacqui Read,DYFKzqLnJmU,
some-underrated-elements-of-success-for-the-modern-programmer-j-b-rainsberger-kandddinsky-2018,2019-10-05,Some Underrated Elements of Success for the Modern Programmer - J. B. Rainsberger - KanDDDinsky 2018,mbcV_Qdb7Ts,
soulful-socio-technical-architecture-marco-consolaro,2023-12-23,Soulful Socio-Technical Architecture - Marco Consolaro,SXDVVddEZbk,
spatial-and-ontological-dimension-of-conways-law-david-west-ddd-europe-2019,2019-12-21,Spatial and Ontological Dimension of Conway’s Law - David West - DDD Europe 2019,P3MWsDeAAGs,
speak-to-me-voice-app-conversation-practices-heather-downing-kandddinsky-2018,2019-10-05,Speak To Me: Voice App Conversation Practices - Heather Downing - KanDDDinsky 2018,XYfTQzWluUc,
splitting-systems-towards-bounded-contexts-and-microservices,2021-01-12,Splitting systems towards bounded contexts and microservices,h-7-lMJ_jdw,
start-with-ddd-when-you-have-a-monolith,2024-02-26,Start with DDD when you have a monolith,-x2CBIFC24o,
stefan-henning-talk-session-how-domain-storytelling-shaped-our-view-of-bounded-contexts,2018-01-28,Stefan & Henning - Talk Session: How Domain Storytelling Shaped Our View of Bounded Contexts,MPQfb7fsw3I,
stephen-tung-the-superpowers-of-event-sourcing,2022-12-19,Stephen Tung - The Superpowers of Event Sourcing,Fhe5-B_SOas,
steven-a-lowe-three-rules-for-domain-driven-design,2023-03-15,Steven A. Lowe - Three Rules for Domain-Driven Design,NXDCkpD74mE,
strategic-autonomous-design-patterns-and-heuristics-nick-tune-kandddinsky-2018,2019-10-05,Strategic Autonomous Design: Patterns and Heuristics - Nick Tune - KanDDDinsky 2018,GQjPaQmK1gU,
strategies-for-introducing-ddd-leading-upwards-and-sideways-christian-horsdal-ddd-europe-2022,2017-10-19,Strategies for introducing DDD: Leading upwards and sideways - Christian Horsdal - DDD Europe 2022,1toIVrL5_sU,
sunddday-discussion-cqrs-event-sourcing-systems-with-alexey-and-marco,2019-08-25,SunDDDay discussion: CQRS & Event Sourcing systems with Alexey and Marco,5e7lhY2q8WQ,
sunddday-discussion-eventstorming-and-user-story-mapping-for-domain-discovery,2019-05-26,SunDDDay discussion: EventStorming and User story mapping for domain discovery,H553KZPCJQk,
sunddday-discussion-growing-your-local-ddd-community,2019-12-01,SunDDDay Discussion: Growing your local DDD community,sXdSjhWNeMg,
sweet-streams-are-made-of-these-caito-scherr-ddd-europe-2021,2016-05-03,Sweet Streams are Made of These - Caito Scherr - DDD Europe 2021,HcdDhmaNTXs,
system-models-made-simple-florin-zalum-ddd-europe-2018,2020-10-14,System Models Made Simple - Florin Zalum - DDD Europe 2018,WNaWaT-cwMc,
systems-are-communication-structures-diana-montalion-ddd-europe-2020,2018-11-27,Systems are communication structures - Diana Montalion - DDD Europe 2020,U_0B-aY_L0c,
systems-thinking-and-the-art-of-simplification-lorraine-steyn-ddd-europe-2020,2018-12-10,Systems Thinking and the Art of Simplification - Lorraine Steyn - DDD Europe 2020,TZRh3n-PTE4,
systems-thinking-by-combining-team-topologies-with-context-maps-michael-plod,2023-09-14,Systems Thinking by combining Team Topologies with Context Maps - Michael Plöd,eg0U21xs7c8,
systems-thinking-intro-with-lorraine-steyn,2024-06-27,Systems Thinking Intro with Lorraine Steyn,rG2Z_j_Zhzg,
systems-thinking-lorraine-steyn-kandddinsky-2018,2019-10-05,Systems Thinking - Lorraine Steyn - KanDDDinsky 2018,fKLzw_cyKNk,
szymon-pobiega-talk-session-messages-on-the-outside-messages-on-the-inside,2019-12-24,"Szymon Pobiega - Talk Session: Messages on the Outside, Messages on the Inside",OgYPm1tIzBU,
tackling-complexity-in-marketing-systems-vlad-khononov-ddd-europe-2018,2020-10-14,Tackling Complexity in Marketing Systems - Vlad Khononov - DDD Europe 2018,JTD3l8_4cjU,
tackling-team-dysfunctions-with-mob-programming-pedro-santos-ddd-europe-2020,2019-01-03,Tackling team dysfunctions with Mob programming - Pedro Santos - DDD Europe 2020,e_-aOHyhE68,
tamed-eventual-consistency-yves-lorphelin-kandddinsky-2018,2019-10-05,Tamed Eventual Consistency - Yves Lorphelin - KanDDDinsky 2018,ED-Va1ZvoQs,
tdd-as-a-design-tool-with-dave-farley,2020-11-10,TDD as a design tool with Dave Farley,VaNaN_j9OCA,
team-evolution-with-ddd-and-dynamic-reteaming-ornela-vasiliauskaite,2024-02-26,Team evolution with DDD and Dynamic Reteaming - Ornela Vasiliauskaitė,joSgTOUy7eQ,
tech-alignment-with-narratives-lothar-schulz-ddd-europe-2021,2016-05-10,Tech alignment with Narratives - Lothar Schulz - DDD Europe 2021,42So7-KyuYk,
technical-coaching-with-the-samman-method-emily-bache-ddd-europe-2022,2017-10-19,Technical Coaching with the Samman method - Emily Bache - DDD Europe 2022,6kq584SbAQI,
technical-debt-isnt-technical-einar-host-ddd-europe-2019,2019-12-21,Technical debt isn't technical - Einar Høst - DDD Europe 2019,d2Ddo8OV7ig,
technology-strategy-what-is-it-and-why-do-we-need-it-scott-millett-ddd-europe-2019,2019-12-21,Technology Strategy  What is it and why do we need it - Scott Millett - DDD Europe 2019,Fg2ydQplM4U,
teddy-%e7%94%a8%e6%a8%a1%e5%bc%8f%e8%aa%9e%e8%a8%80%e8%a7%a3%e5%a3%93%e7%b8%aecqrs%ef%bc%9a%e4%bb%a5ezkanban%e7%b3%bb%e7%b5%b1%e7%82%ba%e4%be%8b,2022-12-17,Teddy - 用模式語言解壓縮CQRS：以ezKanban系統為例,IHHvqacEyz8,
the-aggregate-is-dead-long-live-the-aggregate-sara-pellegrini-milan-savic,2023-12-10,The Aggregate is dead. Long live the Aggregate! - Sara Pellegrini &amp; Milan Savić,MpalYQaKKd4,
the-apocalypse-meme-in-software-barry-o-sullivan-ddd-europe-2019,2019-12-21,The Apocalypse Meme in Software - Barry O  Sullivan - DDD Europe 2019,MQHFNINX1EU,
the-businesscase-for-architecture-niek-van-raaij-ddd-europe-2021,2016-04-11,The businesscase for architecture - Niek Van Raaij - DDD Europe 2021,HjCOfj2imJg,
the-ddd-starter-modelling-process-maxime-sanglan-charlier-ddd-europe-2022,2017-10-19,The DDD Starter Modelling Process - Maxime Sanglan-Charlier - DDD Europe 2022,qeir72soorI,
the-design-of-names-and-spaces-michael-feathers-kandddinsky-2018,2018-10-17,The Design of Names and Spaces - Michael Feathers - KanDDDinsky 2018,KyXAfqv0cjM,
the-distributed-human-system-alan-jefferies-ddd-europe-2021,2016-04-26,The Distributed Human System - Alan Jefferies - DDD Europe 2021,3s143OEsv3k,
